"NEW YORK: Reports on war and terrorism in the Middle East, Afghanistan and other global flash points and a report on ""child slavery"" in India dominated the 21 prizes presented to print, broadcast and photo journalists by the Overseas Press Club.Among the first place winners in the 64th awards ceremony on Thursday was the NBC television network Dateline team, which reported on ""child slavery"" in India.ATV''s Ted Koppel, who was embedded with US forces in Iraq, led a candle-lighting ceremony honouring journalists killed while reporting from Iraq.The Los Angeles Times cornered most first-place awards. Front-runners included the paper''s entire foreign news staff for its coverage of the Afghan War, photographer Carolyn Cole for her photos of the Church of Nativity siege in the Bethlehem, Marla Dickerson and Evelyn Iritani for their reporting on China''s economic boom, and Sonia Nazario for ""best reporting in any medium on Latin America.""The Hal Boyle Award for the Wall Street Journal series, ""Inside al-Qaeda,"" written by Alan Cullison, Andrew Higgins, and Karby Leggett, was one of several honours going to journalists reporting on terrorist activities on four continents under frequently dangerous conditions.In the broadcast category, winners included Ted Koppel''s team on ATV''s Nightline for a report on violence in the Congo, CNN''s Nic Robertson for a report on al-Qaeda training tapes; National Public Radio''s Mike Schuster for his report, ""The Middle East - A Century of Conflict""; and Mikhail Krikunenko of Russia''s NTV for his reporting on the war in Chechnya. The New Yorker took top honours in the magazine category. Lawrence Wright''s ""The Man Behind Bin Laden"" won for ""best magazine reporting from abroad"" and Jeffrey Goldberg''s article, ""The Great Terror,"" on the ""crimes"" of the Iraqi regime, was cited for ""best international human rights reporting in a print medium.""The award for ""best business magazine reporting from abroad"" was shared by Richard Behar of Fortune and Hal Lux of ""Institutional Investor."" Two public affairs publishers books written by journalists were also cited: ""War Is A Force That Gives Us Meaning"" by Chris Hedges and ""The Cat From Hue: A Vietnam War Story"" by John Laurence.Also honoured was Business Week Editor-in-Chief Stephen B Shepard, who received the ""President''s Award"" from Overseas Press Club president Alexis Gelber of Newsweek for his lifetime of achievement in business journalism."	1
"KOLKATA: Altogether 2.06 lakh employees of State Bank of India retiring after this month would be unable to avail the Retired Employees Medical Benefit Scheme as the management has decided to wind up its membership from June 30.""Consequent upon abnormal increase in the membership of the scheme on account of admission of employees retired under VRS in 2001, we had the corpus of fund valued by the bank''s actuaries.It advised that the existing corpus was insufficient to service the medical expenses of the existing members of the scheme,"" a circular from the personnel management department of the bank said.A final decision would be taken with the approval of the Executive Committee of the Central Board, the circular said.The decision would affect about 2.06 lakh employees of the bank currently on the rolls, SBI sources said, adding ""because of this all new retirees off SBI will be in a financial mess and members are aggrieved.""Retired employees received medical benefits upto Rs two lakh a year in lieu of committing one month''s pension to the scheme.The scheme has about 46,000 members at present, including 20,000 widow pensioners. About 21,000 employees joined the scheme in 2001 after VRS, the sources said."	0
"VADODARA/RAJKOT: The decision by the National Human Rights Commission (NHRC) to send a team to Vadodara to inspect the records of the Best Bakery trial does not seem to have gone down well amongst a section of lawyers here.These lawyers a"" including some defence counsel a"" on Saturday submitted a memorandum seeking contempt of court proceedings against NHRC, calling its comments on the case as an insult to the dignity of the court.The lawyers submitted a memorandum to fast-track court Justice HU Mahida requesting him to make a reference to the Gujarat High Court in connection with the recent statement made by NHRC chairman, Justice A S Anand.Mahida had heard the Best Bakery case and delivered the judgment recently, acquitting all the accused persons.Commenting on the move to check the documents, the memorandum states, ""In our perception, such an attempt either on part of the chairman of commission or commissions is a very serious act of insult of the dignity of courts and the same is ultra vires intervention in the august process of judicial adjudication.""The memorandum adds that the Protection of Human Rights Act, 1993, did not give any power and authority in favour of the commission or its members to pass unilateral mandate addressed to the judge whereby they declare that the trial was suffering from some deficiencies.It states that the Act nowhere empowered the commission to suo motu take up the case as it at no point of time involved any complaint or allegation regarding the violation of human rights.""The statement as published in the local newspapers clearly and vocally gives impression from its plain meaning that the commission or its chairman are empowered and acting as if they are watchdog over the judicial proceedings,"" the memorandum states. It adds that the act of the commission,while acting through its chairman making prima facie derogatory comments on the judgment, was a clear case of insult and contempt of court within the meaning of the Contempt of Courts Act, 1971.The signatories to the memorandum include convener of Vadodara BJP''s legal cell Niraj Jain and VHP city unit president Ajay Joshi. Both Jain and Joshi were part of the panel that defended the Best Bakery carnage accused.Commenting on the move, Jain said, ""The NHRC's decision has come as a surprise to many of us. It has no business to comment on the judiciary. Contempt proceedings have to be initiated by the High Court. We have requested Justice Mahida to consider the issue as the case was heard by him.""Former president of the Rajkot Bar Association Abhay Bhardwaj and Prof Kamlesh Joshipura of the Saurastra University's law department have stated that the remarks made by the National Human Rights Commission are a direct attack on the judiciary and that chairman of the commission should be served a notice for contempt of court. The statement was issued on Saturday following a six-hour long discussion."	1
"VADODARA: This city may be three times smaller than Ahmedabad, but commercial property owners here pay much more property tax than those in Ahmedabad.A recent study by the Vadodara Chambers of Commerce & Industry (VCCI) and the Federation of Gujarat Industries (FGI) reveals that businessmen in Vadodara pay 33 per cent more property tax than their counterparts in Ahmedabad under the much-hyped property tax scheme of the Vadodara Municipal Corporation implemented from April 1. This, despite the fact that Vadodara is a 'B' category city compared Ahmedabad's 'A' category statusa""a grading given on basis of the rate of development and quality of civic amenities.The study also indicates discriminatory aspects like tax factors for areas like RC Dutt Road, Gorwa and Gotri in Vadodara. They fall under 'prosperous' zone of Rs 2-Rs 3.40 higher per square metre compared to CG Road and Ashram Road in Ahmedabad.This difference in scales is higher than Rs 6-Rs 10 per square metre for areas falling under 'poor' zone like Tarsali in Vadodara and Dariapur in Ahmedabad.The VCCI survey points out that ultimate rate for commercial properties in posh areas up to 20 years is worked out at Rs 2 per square metre less than that in similar locations in Ahmedabad.Those falling between age category of 21 and 40 and above are almost Rs 3 per square metre more than that in Ahmedabad. The study brings to note that areas coming under 'good', 'medium' and 'poor' locations have their ultimate tax rates increasing proportionately with the age of the property.aA property owner in 'poor' category has to pay Rs 9.60 per square metre more than his counterpart in Ahmedabad if the age of the property is less than 10 years,a says VCCI executive member JH Vohra. aRates go up to Rs 10.32 for properties aged more than 30 years. A 25-year property with an area of 215 square metres in 'class four' category with a 15 per cent discount, since it falls under non-water zone, would pay Rs 6,198 as yearly tax as compared to Rs 3,426 in Ahmedabad,a adds Vohra.aIf you make a comparison between Ahmedabad and Vadodara, a commercial property in Alkapuri would cost Rs 32,000 per square metre while that on CG Road in Ahmedabad would cost around Rs 28,000. For areas like Tarsali, the price is almost Rs 12,900 while that of poor areas in Ahmedabad it would be about Rs 12,000,a says structural engineer and real estate dealer from Ahmedabad Vijay Shah.aThe reason for this stark difference may be the rate at which Vadodara is developing and its so-called cosmopolitan culture,a reasons Shah Senior VMC officials argue that current trends in real estate prices and the old system of taxation, which has not been revised for the past eight years, are to be blamed.aThere are several properties in the city which have been exempted from tax under the old system. Under the new structure calculated on the basis of age, location, type of use and ownership, we have managed to bring these properties under tax net as they are enjoying civic amenities,a says town planner Gopal Shah.aWe were told to choose factors between 0.5 and 1.0 for each category of multipliers. The range was finalised by the government. It's because we did not go as low as Ahmedabad by choosing values as low as 0.5 that ultimate tax rates worked out more than Vadodara,a says mayor NV Patel."	1
HYDERABAD: Nearly 40 per cent of the land earmarked as lung spaces in posh Jubilee Hills has been encroached upon by the city's top guns, including politicians, IAS and IPS officers.This discovery was made by a team of Municipal Corporation of Hyderabad officials, which set out to identify the open spaces as per the lay-out plan.aThe encroachers are obviously the most influential people who have the right connections,a officials said, adding this would not have been possible without the connivance of the officers concerned.As per the original lay-out, 40 per cent of the 1,400 acres falling under Jubilee Hills was meant to be left open. In other words, about 560 acres of land was to be left for roads, parks, play grounds and community centres. But the MCH team found that nearly 250 acres of this has been converted into private constructions.The land sharks have been so blatant that one of them, Shilpa Marbles, lay siege to a large piece of land worth several crores close to the chief minister's house, from where they run their business.In the middle of this murky business, it is learnt, is the Jubilee Hills Co-operative Society which makes the lay-out plans in the area. According to officials, the society first prepares a lay-out plan and accordingly develops the colony.And once the construction of houses is complete, they submit a revised plan in which they show the constructed area as open spaces and get the clearance done, maintaining the 60:40 ratio of plots and open spaces. This way the open spaces are converted into plots and sold again, the officials said.	1
"AHMEDABAD: Deputy Prime Minister L K Advani and BJP national president M Venkaiah Naidu on Thursday paid floral tributes to slain BJP leader and former Gujarat home and revenue minister Haren Pandya at his residence ''Neelam''.Advani and Naidu were accompanied by Chief Minister Narendra Modi, Union ministers Arun Jaitley and Kashi Ram Rana, BJP national treasurer Harin Pathak and others. The two leaders placed wreaths on the body of Pandya, who was shot dead here on Wednesday, and also consoled the bereaved family.Earlier, Advani and Naidu who arrived in a special Air Force plane at Sardar Patel airport were received by Modi, senior Cabinet ministers and other leaders.Both the leaders drove straight to Pandya''s residence in Paldi area.On arrival of Advani and other leaders at the residence of the slain leader, party workers shouted slogans ""We want justice""."	1
AHMEDABAD: It's like the classic race between the hare and tortoise. Two weeks after the cold-blooded murder of former minister Haren Pandya, the entire case has begun to focus on five persons, who are residents of Ahmedabad and are suspected to have undergone ISI training in Karachi.Some police officials are convinced that they were probably involved in the Pandya killing.This, at a time when the CBI is trying to piece together the jigsaw and ascertain the motive behind the murder without jumping the gun.For the Ahmedabad city crime branch, it is a case of a 'bird in hand is better than two in the bush'! The lesser known fact here being that the entire operation was conducted on intelligence acquired by the central Intelligence Bureau (IB), which tipped off the city police about some local persons having been trained by the ISI, recently.The crime branch last week swooped down on five persons who are said to have confessed to their ISI links. The information with the local police was on two batches of people from Gujarat who had undergone this kind of training and indoctrination into 'jihad' in Pakistan. Of which, the crime branch claims to have got the 'second batch'. The local network, surely gave the crime branch an edge over the CBI and the operation was conducted without much delay on Wednesday night.In fact, even after the case was handed over to the CBI, in a speedy response by the state and Central government, the city crime branch went ahead with its own line of investigation and was about to book the five accused for alleged involvement in the conspiracy and murder of Pandya, say police sources.Later senior officials intervened in the matter, and it was treated as an inde pendent case. All said and done, the investigations now have begun to concentrate on a dozen-odd individuals, five of who are in custody of the crime branch till April 16, and the remaining six are absconding. Ahmedmiyan Sukhiyaan Patangiya, among them who is at large, is believed to hold the key to the Pandya murder or murderer.A top official admitted that the crime branch had delved deep into the Pandya case and was indeed conducting parallel investigations. Unfortunately, although the CBI has flown in its top officials from Delhi to boost the morale of its team, they were compelled to interrogate five accused caught by the crime branch at the Gaekwad Haveli week. Although 'disturbed' at statements being made by the crime branch, obliquely attempting to link their catch with the Pandya case, CBI has chosen to remain tightlipped about their 'leads' in the case. The attitude is very typical of which does not talk till they have concrete evidence to support the allegations, and right now there seemingly is none.CBI director P C Sharma is expected to arrive in Ahmedabad Wednesday to follow-up on the investigations and discuss the line action. Sources deny any other motive behind Sharma's arrival and attribute it to the fact that athis case being treated on top priority basisa.But police officials also admit that the CBI is anot used to handling such investigations which are localised in naturea. Their biggest disadvantage being the fact that they are on unfamiliar terrain. Second, athe local police also has an advantage as far as the flow of information is concerned, when compared CBI,a says a police officer. Earlier, CBI special director Misra had flown in from New Delhi to oversee the investigations.	0
MYSORE: To tide over water scarcity, the Mysore City Corporation on Wednesday switched on the Emergency Pumping Station at Hongahalli and started lifting 12 mgd of water directly from the Cauvery river bed. Under the supervision of Vani Vilas Water Works executive engineer Thimmegowda and Srirangapatna DySP B.V. Ramachandrappa, lifting of water began after Mescom provided electricity to the Emergency Pumping Station.Thimmegowda said the unit was switched on as water flow in the canal had dipped. The water level at the KRS on Wednesday stood at 72.60 feet with inflow at 152 cusecs, against a maximum of 124.8 feet. The level was 102 feet on the same date last year. Mescom has assured MCC that electricity supply would not be disturbed. DySP Ramachandrappa said farmers, who had staged a protest on Tuesday, are demanding that flow of water into the canal should not be diverted to the Hongahalli Pumping Station and maintained that they have not blocked the flow of water or disturbed pumping of water from Hongahalli. He said they would provide security at the pumping station if the situation warrants it. Meanwhile, the Corporation is making arrangements to call for tenders to take up a Rs 85-lakh project to lift an additional 8 mgd water from the river bed. Thimmegowda said they would call for a tender shortly and maintained that the city would not face a water crisis. During 2000, as the KRS water began dipping, Mandya's farmers had tried to disrupt water distribution from Hongahalli and Belogala pumping stations, saying the water was required for their drinking water needs and crops, leading to tension between them and Mysoreans. Meanwhile, leader of the opposition in the Corporation Narayana has asked the government to intervene and solve the water crisis. The authorities should deal firmly with miscreants who try to disrupt work at Hongahalli and Belogala pumping stations. aPeople of Mysore protested against water release to TN, not only farmers of Mandya,a he said. Mysore is drawing about 5 tmcft water from KRS annually.	1
DALTONGANJ: One person died and 18 were seriously affected after they inhaled poisonous chlorine gas emanating from a leaking gas pipe of a chemical factory in Rehla town of Jharkhand''s Palamu district on Friday, official sources said. Of the 18 affected, six of the victims were discharged from Garhwah Government Hospital after being treated for breathing trouble, while the condition of the rest was stated to be serious, the sources added.The deceased was identified as Sharwar Singh, a worker of the factory.Police have registered an FIR against the management of the factory. But so far no arrests have been effected in this connection, they said, adding the leakage had been since plugged.	0
"NEW DELHI: Congress on Friday welcomed NCP''s proposal for a pre-poll alliance in Maharashtra saying the Sharad Pawar-led party was a ""significant force"" in the state.""We have no problem. We are already partners in the coalition in Maharashtra. We welcome Pawar''s proposal for an alliance"", party spokesman S Jaipal Reddy told reporters.Reddy, however, steered clear of the stand taken by Pawar on the foreign origin issue of Congress President Sonia Gandhi saying it was for the NCP leader to ""revise his comments"" in the matter.He said the Congress was for unification of the secular vote in the entire country.Downplaying NCP''s plans to go it alone in Meghalaya, he said Maharashtra and the Northeastern states could not be equated. The Congress and NCP in Meghalaya felt that they would fare better if they contest separately despite being part of the coalition in the state, he said."	1
